"Iteration","Lift in Y Monitor: Lift in Y Monitor (N)"
471.0,798.113217559796
472.0,798.1225415229766
473.0,798.1338854235051
474.0,798.1429860329638
475.0,798.1540565756426
476.0,798.1629390990331
477.0,798.1737428591076
478.0,798.182412300398
479.0,798.1929559886581
480.0,798.2014169915989
481.0,798.2117083571268
482.0,798.2199672472302
483.0,798.2300119160755
484.0,798.2380831988204
485.0,798.2478897329078
486.0,798.2557610694034
487.0,798.265335601376
488.0,798.2730242307391
489.0,798.2823556753169
490.0,798.2898622324491
491.0,798.2989720805394
492.0,798.3062939483651
493.0,798.3152011325526
494.0,798.3223622016934
495.0,798.3310607837735
496.0,798.3380601226592
497.0,798.3465266918637
498.0,798.3533510943706
499.0,798.361620134307
500.0,798.3682804800192
501.0,798.3763632863029
502.0,798.3828659938087
503.0,798.3907611445653
504.0,798.3971084588253
505.0,798.4048183788082
506.0,798.4110093014276
507.0,798.418540876101
508.0,798.4245817350502
509.0,798.4319329911802
510.0,798.437825263814
511.0,798.4449998591108
512.0,798.4507456998612
513.0,798.4577450783895
514.0,798.4633499207109
515.0,798.4701744095373
516.0,798.4756497101605
517.0,798.4823031835538
518.0,798.4876380726892
519.0,798.4941267799745
520.0,798.4993337465337
521.0,798.5056665672554
522.0,798.5107485290589
523.0,798.5169296668893
524.0,798.5218916671214
525.0,798.527923374253
526.0,798.5327668313307
527.0,798.5386535330103
528.0,798.5433809824062
529.0,798.5491261803418
530.0,798.5537399684033
531.0,798.5593462082047
532.0,798.5638484461117
533.0,798.5693182839839
534.0,798.5737112027751
535.0,798.5790475830395
536.0,798.5833335654631
537.0,798.588539679602
538.0,798.5927210614063
539.0,798.5978001741813
540.0,798.6018794981036
541.0,798.6068347113294
542.0,798.6108145052507
543.0,798.6156488171572
544.0,798.619531527098
545.0,798.6242478731367
546.0,798.628035784464
547.0,798.6326370185269
548.0,798.6363323665487
549.0,798.640821310723
550.0,798.6444262828796
551.0,798.6488055958063
552.0,798.6523223466023
553.0,798.6565948616153
554.0,798.6600255698728
555.0,798.664193954117
556.0,798.6675398926905
557.0,798.6716069691673
558.0,798.674870928421
559.0,798.6788388864207
560.0,798.682023135228
561.0,798.6858941305023
562.0,798.6889999617387
563.0,798.692776801153
564.0,798.6958067307442
565.0,798.6994917995995
566.0,798.7024479467946
567.0,798.7060434469345
568.0,798.7089280484635
569.0,798.7124364637347
570.0,798.7152513647773
571.0,798.7186738526012
572.0,798.7214208279285
573.0,798.7247606810972
574.0,798.7274414633698
575.0,798.7307006964392
576.0,798.7333168996066
577.0,798.7364977321363
578.0,798.7390509271592
579.0,798.7421553116534
580.0,798.7446470035692
581.0,798.7476767950294
582.0,798.7501084499554
583.0,798.7530653635621
584.0,798.7554384485353
585.0,798.758324121758
586.0,798.7606400223518
587.0,798.7634560984947
588.0,798.7657161506078
589.0,798.7684642825407
590.0,798.7706698094327
591.0,798.7733515971549
592.0,798.7755038710645
593.0,798.7781209630875
594.0,798.7802212128129
595.0,798.7827750647092
596.0,798.7848245212352
597.0,798.787316660624
598.0,798.7893165863279
599.0,798.7917484430096
600.0,798.7937000367442
601.0,798.7960730259027
602.0,798.7979774471602
603.0,798.8002930017633
604.0,798.802151352074
605.0,798.8044108593127
606.0,798.8062242449752
607.0,798.8084290834846
608.0,798.8101985800155
609.0,798.8123500900516
610.0,798.8140767678451
611.0,798.8161762625627
612.0,798.8178611634322
613.0,798.8199099118735
614.0,798.8215540381456
615.0,798.8235532616617
616.0,798.8251576114584
617.0,798.8271084995422
618.0,798.8286740306389
619.0,798.8305777529584
620.0,798.8321054008389
621.0,798.8339630890343
622.0,798.8354537680789
623.0,798.8372665089598
624.0,798.838721102333
625.0,798.8404899901942
626.0,798.8419093835803
627.0,798.8436354698079
628.0,798.8450204904842
629.0,798.8467047984926
630.0,798.8480562869577
631.0,798.8496998233226
632.0,798.8510185869962
633.0,798.8526223357441
634.0,798.8539091597771
635.0,798.8554740716164
636.0,798.8567297250975
637.0,798.8582567458749
638.0,798.8594819843306
639.0,798.8609720180758
640.0,798.8621675660307
641.0,798.8636215033026
642.0,798.8647880734391
643.0,798.8662068058608
644.0,798.8673451250299
645.0,798.8687294843418
646.0,798.8698402143585
647.0,798.8711910415042
648.0,798.8722748577343
649.0,798.8735929507919
650.0,798.8746505028112
651.0,798.8759366714363
652.0,798.8769686209621
653.0,798.8782237290741
654.0,798.8792312484688
655.0,798.8804553451238
656.0,798.8814385782301
657.0,798.8826325550476
658.0,798.8835921081528
659.0,798.8847571499035
660.0,798.8856935685833
661.0,798.8868304071768
662.0,798.8877441725451
663.0,798.8888535335669
664.0,798.8897451566208
665.0,798.8908277098905
666.0,798.8916977421655
667.0,798.892754126859
668.0,798.8936030959009
669.0,798.8946339246843
670.0,798.8954623298504
671.0,798.8964682309239
672.0,798.89727657823
673.0,798.8982581376242
674.0,798.8990469200652
675.0,798.9000047296981
676.0,798.900774428125
677.0,798.9017090693557
678.0,798.902460156963
679.0,798.9033721826958
680.0,798.904105121648
681.0,798.9049950769361
682.0,798.9057103005515
683.0,798.9065787281863
684.0,798.9072766584161
685.0,798.9081240826964
686.0,798.9088051294449
687.0,798.9096320727828
688.0,798.9102966500661
689.0,798.9111036114782
690.0,798.9117521254144
691.0,798.9125395782632
692.0,798.9131724073923
693.0,798.9139408238364
694.0,798.9145583530938
695.0,798.9153081862738
696.0,798.9159107901195
697.0,798.9166424931077
698.0,798.9172305242066
699.0,798.9179445345592
700.0,798.9185183356366
701.0,798.9192150710261
702.0,798.919775007987
703.0,798.9204548853287
704.0,798.9210012609248
705.0,798.9216647012003
706.0,798.9221978588683
707.0,798.922845253424
708.0,798.9233655982749
709.0,798.9239972278383
710.0,798.9245049187134
711.0,798.9251212526327
712.0,798.9256166414576
713.0,798.9262181581438
714.0,798.9267015618327
715.0,798.9272885924623
716.0,798.927760286103
717.0,798.9283331714734
718.0,798.9287934116458
719.0,798.9293525113926
720.0,798.9298015609761
721.0,798.930347200648
722.0,798.9307853399258
723.0,798.9313178348337
724.0,798.9317453408338
725.0,798.9322649798377
726.0,798.9326820988799
727.0,798.9331891813196
728.0,798.9335961945377
729.0,798.9340910129819
730.0,798.934488156862
731.0,798.9349710069686
732.0,798.9353585430422
733.0,798.9358296994716
734.0,798.936207862551
735.0,798.9366676055253
736.0,798.9370366205292
737.0,798.9374852406189
738.0,798.9378453251037
739.0,798.9382830907863
740.0,798.9386344480886
741.0,798.9390616372115
742.0,798.9394045068447
743.0,798.9398213538448
744.0,798.9401559269774
745.0,798.9405626854958
746.0,798.9408891707333
747.0,798.941286087884
748.0,798.941604677541
749.0,798.9419919833095
750.0,798.9423028626013
751.0,798.9426807887425
752.0,798.9429841376827
753.0,798.9433529216693
754.0,798.943648942138
755.0,798.9440087976658
756.0,798.9442976513764
757.0,798.9446487948933
758.0,798.9449306433122
759.0,798.9452732921177
760.0,798.9455483181933
761.0,798.945882672268
762.0,798.9461510397053
763.0,798.9464773137323
764.0,798.9467391949523
765.0,798.9470575698998
766.0,798.947313108338
767.0,798.9476237663565
768.0,798.9478731199808
769.0,798.9481762662415
770.0,798.9484195788363
771.0,798.9487153901981
772.0,798.9489528238157
773.0,798.949241462316
774.0,798.9494731484183
775.0,798.9497548058516
776.0,798.9499808808408
777.0,798.950255726727
778.0,798.9504763186608
779.0,798.950744506379
780.0,798.9509597657801
781.0,798.9512214742351
782.0,798.951431541739
783.0,798.9516869072179
784.0,798.9518918891862
785.0,798.9521410674937
786.0,798.9523410838447
787.0,798.9525842310802
788.0,798.9527794031432
789.0,798.9530166800362
790.0,798.9532071439937
791.0,798.9534386745527
792.0,798.9536245252285
793.0,798.9538504560733
794.0,798.9540318137445
795.0,798.954252290161
796.0,798.9544292608894
797.0,798.9546444058094
798.0,798.9548170972706
799.0,798.9550270406609
800.0,798.9551955478031
801.0,798.9554004084177
802.0,798.9555648371309
803.0,798.9557647333611
804.0,798.9559251795395
805.0,798.9561202444651
806.0,798.9562768061076
807.0,798.9564671472559
808.0,798.9566199291395
809.0,798.9568056620445
810.0,798.956954759205
811.0,798.9571360032755
812.0,798.9572814894847
813.0,798.9574583619279
814.0,798.9576003275462
815.0,798.9577729189534
816.0,798.9579114558942
817.0,798.9580798638965
818.0,798.9582150380654
819.0,798.9583793740479
820.0,798.9585112657957
821.0,798.9586716281227
822.0,798.9588003323651
823.0,798.9589568066631
824.0,798.9590823915536
825.0,798.9592350817517
826.0,798.9593576384169
827.0,798.9595066324166
828.0,798.9596262275794
829.0,798.9597716248857
830.0,798.9598883183716
831.0,798.9600301932742
832.0,798.9601440644195
833.0,798.9602825064168
834.0,798.960393621525
835.0,798.9605287041169
836.0,798.9606371221539
837.0,798.9607689438027
838.0,798.9608747395487
839.0,798.9610033692082
840.0,798.9611066151355
841.0,798.961232136442
842.0,798.9613328910347
843.0,798.9614553872218
844.0,798.9615537119407
845.0,798.9616732409044
846.0,798.96176918438
847.0,798.9618858351495
848.0,798.9619794642811
849.0,798.9620932865672
850.0,798.9621846432747
851.0,798.9622957111019
852.0,798.9623848502079
853.0,798.9624932253413
854.0,798.9625802050168
855.0,798.962685944725
856.0,798.9627708149501
857.0,798.9628739998723
858.0,798.9629568248472
859.0,798.9630575030976
860.0,798.9631383106772
861.0,798.9632365615463
862.0,798.9633154181125
863.0,798.9634112796462
864.0,798.9634882309539
865.0,798.9635817724062
866.0,798.9636568607759
867.0,798.9637481457207
868.0,798.9638214129606
869.0,798.9639104869426
870.0,798.9639819812699
871.0,798.964068903085
872.0,798.9641386656527
873.0,798.9642234850538
874.0,798.9642915712909
875.0,798.9643743402339
876.0,798.9644407712814
877.0,798.9645215353411
878.0,798.9645863580577
879.0,798.9646651654896
880.0,798.9647284213208
881.0,798.964805325739
882.0,798.9648670434628
883.0,798.964942080337
884.0,798.9650023138236
885.0,798.9650755283099
886.0,798.965134311051
887.0,798.96520575627
888.0,798.965263106691
889.0,798.9653328270024
890.0,798.9653887853988
891.0,798.9654568263522
892.0,798.9655114279714
893.0,798.965577825218
894.0,798.9656311139414
895.0,798.9656959085028
896.0,798.9657479057012
897.0,798.965811121959
898.0,798.9658618664128
899.0,798.9659235339977
900.0,798.9659730344495
901.0,798.9660332151693
902.0,798.9660815158223
903.0,798.9661402413848
904.0,798.9661873725079
905.0,798.9662446733032
906.0,798.9662906591942
907.0,798.9663465761071
908.0,798.9663914543347
909.0,798.9664460161135
910.0,798.9664898136157
911.0,798.9665430555133
912.0,798.9665858015828
913.0,798.9666377498382
914.0,798.9666794670231
915.0,798.9667301706995
916.0,798.9667708707677
917.0,798.9668203498022
918.0,798.9668600689649
919.0,798.9669083473364
920.0,798.9669470934687
921.0,798.9669942044053
922.0,798.967032018858
923.0,798.9670779817945
924.0,798.9671148741171
925.0,798.9671597349452
926.0,798.9671957348793
927.0,798.9672395089732
928.0,798.967274652528
929.0,798.9673173633375
930.0,798.9673516545068
931.0,798.967393329919
932.0,798.9674267952532
933.0,798.9674674630262
934.0,798.9675001181997
935.0,798.9675398072588
936.0,798.9675716700249
937.0,798.9676104071355
938.0,798.9676414909594
939.0,798.9676792938976
940.0,798.9677096219605
941.0,798.9677465052547
942.0,798.967776108968
943.0,798.9678120929931
944.0,798.9678409829114
945.0,798.967876096928
946.0,798.9679042871353
947.0,798.9679385485399
948.0,798.9679660536096
949.0,798.9679994982337
950.0,798.9680263301442
951.0,798.9680589501406
952.0,798.9680851344732
953.0,798.9681169716803
954.0,798.9681425190365
955.0,798.968173580219
956.0,798.9681985110295
957.0,798.968228838627
958.0,798.9682531726193
959.0,798.968282755314
960.0,798.9683065041143
961.0,798.9683353739211
962.0,798.9683585386604
963.0,798.9683867131392
964.0,798.9684093153413
965.0,798.968436799717
966.0,798.9684588578767
967.0,798.9684856729989
968.0,798.9685071954231
969.0,798.9685333616895
970.0,798.9685543695211
971.0,798.968579903942
972.0,798.9686003924013
973.0,798.9686253108904
974.0,798.9686453147564
975.0,798.968669624874
976.0,798.9686891378815
977.0,798.9687128643477
978.0,798.9687319085695
979.0,798.9687550581469
980.0,798.9687736360488
981.0,798.9687962283356
982.0,798.9688143605737
983.0,798.9688364031535
984.0,798.9688541017244
985.0,798.9688756090068
986.0,798.9688928798254
987.0,798.9689138676097
988.0,798.9689307198026
989.0,798.9689512082302
990.0,798.9689676541434
991.0,798.9689876533463
992.0,798.969003706714
993.0,798.9690232175067
994.0,798.9690388812006
995.0,798.9690579111634
996.0,798.9690731867299
997.0,798.9690917533679
998.0,798.9691066462244
999.0,798.9691247634872
1000.0,798.969139313576
1001.0,798.9691569923274
1002.0,798.9691711880732
1003.0,798.9691884372752
1004.0,798.9692022986412
1005.0,798.9692191263764
1006.0,798.9692326442979
1007.0,798.9692490689721
1008.0,798.9692622560864
1009.0,798.9692782827249
1010.0,798.9692911440327
1011.0,798.96930678839
1012.0,798.9693193398049
1013.0,798.9693346019482
1014.0,798.969346851301
1015.0,798.9693617392305
1016.0,798.969373685592
1017.0,798.9693882095399
1018.0,798.9693998735265
1019.0,798.9694140453233
1020.0,798.9694254343153
1021.0,798.9694392766686
1022.0,798.9694503897389
1023.0,798.9694639067202
1024.0,798.9694747490325
1025.0,798.9694879302498
1026.0,798.9694985193112
1027.0,798.9695113902338
1028.0,798.9695217189436
1029.0,798.9695342763877
1030.0,798.9695443477052
1031.0,798.9695566031727
1032.0,798.9695664355054
1033.0,798.9695783856123
1034.0,798.9695879772128
1035.0,798.9695996437578
1036.0,798.9696090092327
1037.0,798.9696203958066
1038.0,798.9696295340756
1039.0,798.9696406446749
1040.0,798.9696495656391
1041.0,798.9696604095125
1042.0,798.9696691129718
1043.0,798.9696796969508
1044.0,798.9696881886206
1045.0,798.9696985172419
1046.0,798.9697068030099
1047.0,798.9697168839889
1048.0,798.9697249800661
